filename,MFCC_Mean_1,MFCC_StdDev_1,MFCC_Mean_2,MFCC_StdDev_2,MFCC_Mean_3,MFCC_StdDev_3,MFCC_Mean_4,MFCC_StdDev_4,MFCC_Mean_5,MFCC_StdDev_5,MFCC_Mean_6,MFCC_StdDev_6,MFCC_Mean_7,MFCC_StdDev_7,MFCC_Mean_8,MFCC_StdDev_8,MFCC_Mean_9,MFCC_StdDev_9,MFCC_Mean_10,MFCC_StdDev_10,MFCC_Mean_11,MFCC_StdDev_11,MFCC_Mean_12,MFCC_StdDev_12,MFCC_Mean_13,MFCC_StdDev_13
Apologize_4,-213.91522,61.528397,177.82593,37.012947,-13.131493,20.341314,33.326916,24.598087,10.507454,18.362963,24.838264,12.90944,-1.2255722,11.665166,16.089521,11.913051,-1.5938406,10.303856,4.9301033,9.115101,5.55255,9.906803,8.10319,8.223976,0.36116892,7.3762827
Apologize_5,-196.99202,58.88924,174.01929,32.387356,-18.814417,20.946653,34.648735,22.570118,10.614954,17.398163,22.263727,11.845816,-0.20155545,11.202736,13.728918,11.432646,-0.22286047,9.631706,5.6635513,9.178825,4.650854,9.6007805,10.371274,8.719462,0.015597794,7.739688
Apologize_6,-176.8051,52.630005,170.03708,34.586445,-25.583385,18.65237,39.27571,23.54362,7.0897737,18.550064,22.265884,12.493147,-1.5052626,10.549779,12.9514,12.242383,-2.0880437,9.651676,7.0257773,9.725628,2.771223,8.8927555,11.60203,9.209163,0.76680255,7.649319
Apologize_7,-158.54846,49.471848,148.85399,40.072514,-24.641422,26.962934,29.98344,22.71319,7.6826777,20.49594,15.185365,14.672294,-2.502283,14.889005,4.458587,18.2355,-1.8688517,11.716029,4.5242887,9.87728,4.004424,9.272803,10.757139,8.912824,-0.3066627,7.480015
Apologize_8,-131.94028,54.001762,136.95021,41.340645,-25.081177,26.329525,35.296234,23.169264,-1.1586906,21.381256,19.695063,17.631054,-6.428558,15.411048,7.2985573,18.784725,-4.204774,11.824422,7.832855,11.635986,1.7016968,9.96408,11.264295,9.013922,-1.9982586,7.737213
Apologize_9,-110.86111,55.992153,126.099464,41.537056,-22.308428,26.59136,39.58997,23.7059,-9.252811,21.468084,24.051071,18.652828,-10.900082,15.369052,8.9964485,19.190723,-7.5795226,11.334423,10.748472,11.758304,-0.45314327,9.617321,11.934265,9.6548395,-2.2227538,7.1845436
Appletree_1,-284.72806,74.877914,100.90732,37.071095,22.485664,28.220573,54.882793,26.368097,0.2149773,23.526104,14.090342,17.576578,-10.0642185,16.555403,0.035568617,13.816425,-12.198588,12.324048,-7.089448,12.267942,-2.4930534,13.466895,-2.2931988,13.7312,2.9653997,12.062924
Appletree_2,-267.2186,79.56207,109.25862,36.863773,18.92932,30.51331,55.130177,25.275312,3.607317,23.499758,17.241726,18.084072,-10.129984,17.758762,3.7465744,14.661888,-8.625074,12.860076,-4.778265,12.739777,2.1870544,12.742041,-0.13343787,12.777793,2.9049702,11.405151
Appletree_3,-257.85806,83.774315,112.55922,38.80696,16.265879,33.167545,55.397232,25.364466,5.0840125,24.450838,18.714449,19.114191,-9.631435,18.102613,5.4648623,14.890049,-4.3870854,12.289606,-3.0227454,12.395545,4.1115756,12.046836,0.75986695,11.315282,1.8682594,10.449206
Appletree_4,-248.38965,84.76933,122.98244,35.87223,14.906594,36.474186,53.738476,24.243736,8.060009,24.665209,20.290806,18.969952,-9.005632,18.11949,7.1829386,13.994774,-0.647049,11.630134,-2.3296106,12.699757,5.143558,12.444908,1.7114475,10.630182,1.666215,10.089953
Appletree_5,-231.4659,80.922295,130.46155,35.990726,7.0157065,37.1707,50.485504,24.484642,10.11616,24.943846,22.421621,17.426842,-8.815787,18.579767,9.276057,12.923063,1.9258355,10.929484,-1.0679367,12.566726,6.9722304,11.479499,2.1270177,9.755404,0.52537555,9.41395
Appletree_6,-233.96304,78.31423,130.98456,36.425934,8.133949,37.546574,51.366367,23.614176,10.922993,24.850777,22.400356,17.470999,-8.565185,17.686062,8.557675,12.004619,3.3371894,10.837724,-1.1960248,11.971517,6.3295455,11.189363,2.8148901,9.198903,1.2819114,9.273985
Appletree_7,-231.18248,76.3363,135.57071,33.917816,5.7404075,37.60667,50.063606,24.036346,11.8617115,25.029144,21.831793,17.05817,-8.982225,17.238123,7.915213,11.770077,3.8364744,11.546842,-1.7997239,12.235502,6.386862,11.082053,3.0976791,8.966873,1.0490957,9.104662
