filename,zero_crossing_mean,zero_crossing_var,spectral_cent_mean,spectral_cent_var,spectral_rolloff_mean,spectral_rolloff_var,spectral_flatness_mean,spectral_flatness_var,chroma_mean,chroma_var,bandwidth_mean,bandwidth_var,tempo_mean,tempo_var
"7 Seconds -- Youssou N'Dour, Neneh Cherry_11",0.06938805104408352,0.002507826065235646,2279.9241152677214,781197.284744008,5328.705867758483,3634511.152229169,0.0151966605,0.00044098095,0.397905,0.09456426,2760.706761218901,212961.78446090317,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_12",0.07313116299303944,0.0032458171030968104,2355.060810219503,1011572.2244308311,5545.374356511021,3952025.0340449316,0.014831818,0.0003906017,0.37778452,0.09663846,2791.3591620498228,241627.35695984808,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_13",0.07238684563515081,0.001994546458889822,2323.204931484967,825929.2683785509,5475.366465840705,3781583.4859344815,0.013485373,0.0002629382,0.3825117,0.091772415,2774.118635409245,247093.39765544122,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_14",0.0854469529437355,0.002262801410825102,2471.997358589176,737260.4249427973,5708.859330816777,3434862.1211819537,0.017589359,0.000402863,0.4001039,0.08694872,2832.7641713192925,227042.26637652717,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_15",0.10049020718532482,0.0032088219612184995,2628.7554533909056,822410.4265998746,5961.599681880801,3406338.396104863,0.022009801,0.00052570197,0.40151212,0.084677815,2886.1540191366485,221895.39245849242,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_16",0.08539710520591648,0.0025680746061272183,2407.950840129902,718567.1371172108,5519.169797255656,3442171.9138882672,0.01800721,0.00040916915,0.40317214,0.08804994,2795.2163765120113,213817.22164601053,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_17",0.0650150449535963,0.0009799137454109112,2189.187367550155,504234.421780456,5159.2255700768565,3070168.9404964535,0.013217067,0.0003016553,0.3976526,0.09633417,2718.5582320438934,178939.3376699981,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_18",0.06969620069605569,0.0010660305230910064,2170.144995642733,546806.1724268093,5088.205968586862,3034152.163101173,0.012088121,0.0003079542,0.38631603,0.09791474,2651.515608230207,207672.81863031906,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_19",0.07115311412412993,0.001043186712888524,2065.130952221405,544297.0172684552,4760.8613122643565,3023713.377405382,0.0109956395,0.00029568624,0.38197404,0.09460812,2527.518738842735,234984.72728730715,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_20",0.07272048560759861,0.0012673941570525758,2097.2723322846045,594350.5651869206,4848.418014066126,3061284.5519792708,0.011763367,0.00029728733,0.37388682,0.09001835,2555.372208542743,241802.15176085744,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_21",0.07869994833961717,0.001591736048774617,2284.464149140149,726940.8125503642,5382.201638631091,3635382.343031154,0.013327673,0.0002859897,0.38406652,0.08966021,2732.174773253483,263210.296825013,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_22",0.08679284186484919,0.0025870122025543436,2449.4306657083544,852592.9541021216,5743.2949694569315,4226194.571000152,0.01480551,0.00026891724,0.38965234,0.08711264,2824.827719199268,265649.13274890854,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_23",0.09443993800754061,0.0028694635683527564,2518.280263688332,828689.981170522,5813.540175010876,4027652.977201538,0.01764569,0.0003000336,0.3905369,0.082531095,2840.5514531779095,255517.5081558045,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_24",0.09571162177349188,0.0029217607015189096,2502.647064161918,785098.2086691406,5760.831290331352,3799088.8557869676,0.018909918,0.00030560768,0.39649472,0.07964995,2859.754181199092,259138.78925707514,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_25",0.08748901083961717,0.002431722872049092,2345.10769330508,717615.0586258671,5403.085348390371,3815977.4833448925,0.01647749,0.0002558806,0.4017971,0.07888566,2779.515885344183,251317.90706758492,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_26",0.08298742024361949,0.00229207061463324,2271.5470249544387,708128.1838794679,5256.387279537051,3742664.9760207455,0.015562249,0.00027222084,0.40278375,0.08061033,2742.707341199821,230176.56071810963,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_27",0.09402019739704176,0.002662883016527562,2392.688079935714,693908.401663589,5505.44300477632,3463928.7088575866,0.01779466,0.000292491,0.4018739,0.08194983,2778.539045664388,205204.01289041914,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_28",0.10021831043358469,0.002035804350179591,2536.711410787594,597967.1292535403,5804.297384806409,3235154.8889380484,0.020707797,0.00033834155,0.3963323,0.08163128,2831.5886548683375,191165.42910360094,151.99908088235293,0.0
"7 Seconds -- Youssou N'Dour, Neneh Cherry_29",0.1052806880800464,0.0024237787999936418,2626.338651506064,662982.8003153058,6067.242275866444,3187127.547669881,0.022014704,0.0005035151,0.4006801,0.08185598,2887.560966897568,205412.2658929872,151.99908088235293,0.0
a-ha -- Take On Me_1,0.15622175232438015,0.010430332104258795,2987.543975339614,1055255.3252743182,6106.735052944215,2433943.228297412,0.06265975,0.004878415,0.53592277,0.0821621,2744.602324382409,149225.87374392818,83.35433467741936,0.0
a-ha -- Take On Me_2,0.15374458472302785,0.005395657000236041,2890.0210627809397,706383.0435622634,5880.612855278422,1906150.7240150853,0.04914107,0.002903329,0.42261866,0.08122409,2651.9280991214005,118235.65776906088,172.265625,0.0
a-ha -- Take On Me_3,0.16841624673723898,0.00433240854714666,3016.602824975032,520110.2916962612,6112.219691442503,1310805.060905815,0.04839145,0.0023634846,0.38618928,0.080786146,2685.677903573246,79543.2264620614,112.34714673913044,0.0
